ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
2,9:07am,1 Lion stationary,"S140, just S of S106, after the small house on the right, on the road. Near Orpen",5/5,Ninja15,"Jan 4, 2024 · 7:31 AM UTC",46s
3,9:20am,1 Spotted Hyena on the move,"S130, as you turn off from H4-2 S Near Crocodile Bridge",5/5,Kirsty,"Jan 4, 2024 · 7:27 AM UTC",4m
7,8:52am,1 Lion stationary,"S140, just S of S106, on the road Near Orpen",5/5,JoedeWet,"Jan 4, 2024 · 7:08 AM UTC",23m
8,8:27am,1 Leopard in a tree,"S25, 11.9km E of S119 Near Malelane",1/5,KwamboMike,"Jan 4, 2024 · 6:55 AM UTC",36m
10,6:04am,1 Leopard on the move,"H7, just E of S106 W junction Near Orpen",4/5,JoedeWet,"Jan 4, 2024 · 6:54 AM UTC",37m
11,7:10am,2 Lions sleeping,"H1-6, 3km N of Mooiplaas picnic site, next to road Near Mopani",5/5,Philip,"Jan 4, 2024 · 6:47 AM UTC",44m
12,6:20am,6 Wild Dogs on the move,"H1-6, on the road 5.1km S of S144 S Near Mopani",5/5,Philip,"Jan 4, 2024 · 6:47 AM UTC",44m
13,5:41am,5 Lions on the move,"S143, close to Tihongoneyeni water hole Near Mopani",5/5,Philip,"Jan 4, 2024 · 6:47 AM UTC",44m
14,8:05am,Pride of Lion stationary,"S28, 600m S of H4-2 N junction on W side Near Lower Sabie",5/5,Jean - Discover Kruger Safaris,"Jan 4, 2024 · 6:38 AM UTC",53m
16,6:00am,1 Lion on the move,"H4-2, 4km N of S28 S junction Near Crocodile Bridge",5/5,Foxys On Safari,"Jan 4, 2024 · 6:30 AM UTC",1h
18,7:26am,1 Leopard stationary,"H3, 750m S of S114 Near Malelane",2/5,ArieZax,"Jan 4, 2024 · 6:01 AM UTC",1h
19,7:06am,3 Southern Ground Hornbills crossed road,"H1-4, 1.2km N of H7 Near Satara",5/5,Lee Archer,"Jan 4, 2024 · 6:01 AM UTC",1h
20,7:09am,3 Spotted Hyenas on the move,"H1-1, 180m E of S65 Near Skukuza",5/5,LindaH7,"Jan 4, 2024 · 6:01 AM UTC",1h
21,6:45am,1 Leopard in a tree with kill,"S25, 3km E of S114 Near Malelane",5/5,CF wildlifephotography,"Jan 4, 2024 · 5:37 AM UTC",1h
23,7:18am,1 Leopard in a tree,"H3, 1km N of S110 tar Near Malelane",5/5,CF wildlifephotography,"Jan 4, 2024 · 5:27 AM UTC",2h
27,6:22am,2 Southern Ground Hornbills feeding,"S118, 4.4km E of H3 Near Malelane",2/5,KwamboMike,"Jan 4, 2024 · 5:03 AM UTC",2h
28,6:04am,2 Lions stationary,"S25, 200m W of H4-2 Near Crocodile Bridge",3/5,YKarani,"Jan 4, 2024 · 5:03 AM UTC",2h
33,6:44am,1 Black backed Jackal on the move,"S28, 5.1km E of H4-2 S junction, heading W Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Jan 4, 2024 · 4:51 AM UTC",2h
36,6:02am,2 Spotted Hyenas on the move,"S28, 400m E of H4-2 S junction, heading N Near Crocodile Bridge",5/5,Ti,"Jan 4, 2024 · 4:25 AM UTC",3h
42,9:09am,3 Cheetah on the move,"S28, 11.6km from H4-2 Near Crocododile Bridge",5/5,Sparkycourts,"Jan 3, 2024 · 3:41 PM UTC",15h
43,5:24pm,2 Lion mating,"H7, 1km E of S106 W entrance Near Orpen",5/5,Alexpetrovsafari,"Jan 3, 2024 · 3:41 PM UTC",15h
44,5:10pm,1 Steenbok stationary,"H3, 1.9km S of S113 towards Biyamiti Bridge Near Malelane",4/5,Neels,"Jan 3, 2024 · 3:36 PM UTC",15h
47,8:40am,2 Lion stationary,"H1-3, 600m S of S126 Near Satara",5/5,Bernard Van Der Westhuizen-instragram,"Jan 3, 2024 · 2:14 PM UTC",17h
49,3:35pm,2 Southern Ground hornbills stationary,"H4-2, just S of S130 S entrance Near Crocodile Bridge",2/5,CF,"Jan 3, 2024 · 1:55 PM UTC",17h
51,9:40am,1 Ostrich on the move,"S128, 3.3km from H10 S entrance Near Lower Sabie",5/5,CharlieSim,"Jan 3, 2024 · 1:13 PM UTC",18h
52,1:03pm,1 Leopard in a tree,"H4-2, 2km S of H10 Near Lower Sabie",5/5,CharlieSim,"Jan 3, 2024 · 1:13 PM UTC",18h
54,2:15pm,1 African Fish Eagle stationary,"S25, 8.1km from H4-2 Near Crocodile Bridge",4/5,Neels,"Jan 3, 2024 · 12:32 PM UTC",19h
56,1:43pm,8 Elephant crossed road,"S110 tar, 4km from H3 Near Berg en Dal",5/5,Lategan16,"Jan 3, 2024 · 12:19 PM UTC",19h
59,7:42am,4 Giraffe feeding,"S28, 150m from H4-2 N entrance Near Lower Sabie",3/5,GIJoe,"Jan 3, 2024 · 11:54 AM UTC",19h
60,7:35am,4 Giraffe feeding,"S28, 1.3km from H4-2 N entrance Near Lower Sabie",5/5,GIJoe,"Jan 3, 2024 · 11:53 AM UTC",19h
61,9:06am,10 Elephant stationary,"H4-1, 3.2km S of S79 Near Lower Sabie",3/5,GIJoe,"Jan 3, 2024 · 11:53 AM UTC",19h
