ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
3,11:00am,10 plus Vulture in a tree,"S3, 4.7km W of S4 Near Paul kruger Gate",5/5,Meggsmit8,"Jan 3, 2024 · 9:28 AM UTC",13m
4,8:09am,7 Giraffe feeding,"H11, 700m E of S1 Near Skukuza",5/5,Meggsmit8,"Jan 3, 2024 · 9:28 AM UTC",13m
5,11:11am,1 Elephant feeding,"S3, 7.8km W of S4 Near Paul kruger Gate",5/5,Meggsmit8,"Jan 3, 2024 · 9:28 AM UTC",13m
7,10:48am,1 Buffalo drinking,"S3, 3.5km W of S4 Near Paul Kruger Gate",5/5,Meggsmit8,"Jan 3, 2024 · 9:11 AM UTC",29m
8,10:58am,1 Leopard stationary,"S1, 850m from H11 Near Skukuza",1/5,smmare,"Jan 3, 2024 · 9:11 AM UTC",30m
9,10:24am,1 Leopard stationary,"H4-2, 700m E of H10 Near Lower Sabie",2/5,Trevclark83,"Jan 3, 2024 · 9:11 AM UTC",30m
10,7:15am,1 Giraffe feeding,"H6, just W of S41 Near Satara",5/5,JoedeWet,"Jan 3, 2024 · 9:00 AM UTC",41m
12,9:54am,10 Elephant on the move,"H11, 1.6km E of S1 Near Skukuza",5/5,Meggsmit8,"Jan 3, 2024 · 9:00 AM UTC",41m
13,7:02am,4 Lion stationary,"H1-3, 450m N of H7 Near Satara",5/5,BushBabyBuck,"Jan 3, 2024 · 9:00 AM UTC",41m
15,9:54am,1 Tree Agama stationary,"H5, 5.7km from H4-2 Near Crocodile Bridge",5/5,Poppie and the family,"Jan 3, 2024 · 8:25 AM UTC",1h
16,9:24am,1 Leopard Tortoise on the move,"H4-2, 500m N of S130 S entrance Near Crocodile Bridge",5/5,Poppie and the family,"Jan 3, 2024 · 8:25 AM UTC",1h
18,9:54am,4 Buffalo on the move,"S25, 15 km from H4-2 Near Crocodile Bridge",5/5,Maleehah Cassim,"Jan 3, 2024 · 8:11 AM UTC",1h
19,8:38am,5 Lion stationary,"S125, 5km from H1-3 Near Satara",5/5,Mel,"Jan 3, 2024 · 8:10 AM UTC",1h
20,9:07am,Troop of Chacma Baboon stationary,"H4-2, 900m N of S25 Near Crocodile Bridge",5/5,Poppie and the family,"Jan 3, 2024 · 7:48 AM UTC",1h
26,2:49pm,1 Elephant feeding,"S110 tar, 4.1km from H3 Near Malelane",1/5,JulesAna,"Jan 2, 2024 · 1:04 PM UTC",20h
27,8:31am,3 Lion stationary,"H7, 8.6km E of the Maroela Camp turnoff Near Orpen",4/5,Untamedbirding,"Jan 2, 2024 · 1:04 PM UTC",20h
29,10:02am,1 Leopard in a tree,"H3, 900m S of the Biyamiti Bridge Near Malelane",5/5,CrazyCarrot77,"Jan 2, 2024 · 1:04 PM UTC",20h
30,9:00am,1 Leopard stationary,"H3, 900m S of the Biyamiti Bridge Near AMlelane",4/5,Denny24,"Jan 2, 2024 · 12:47 PM UTC",20h
32,9:50am,1 Leopard stationary,"H1-1, 350m W of S65 Near Skukuza",4/5,Denny24,"Jan 2, 2024 · 12:47 PM UTC",20h
33,9:21am,1 Leopard in a tree,"S125, 300m from H1-3 Near Tshokwane",2/5,Lee_Archer,"Jan 2, 2024 · 12:26 PM UTC",21h
34,7:15am,12 Wild Dog stationary,"H1-2, 1.9km S of H10 Near Tshokwane",5/5,Lee_Archer,"Jan 2, 2024 · 12:03 PM UTC",21h
35,11:40am,1 Lion stationary,"H1-1, 600m N of S114 Near Skukuza",3/5,MVDM,"Jan 2, 2024 · 12:03 PM UTC",21h
36,11:57am,1 Lion stationary,"S119, 400m S of the Gardenia Hide Near Malelane",3/5,MarcoF,"Jan 2, 2024 · 12:03 PM UTC",21h
38,12:40pm,2 Cheetah stationary,"S60, 150m from H1-8 Near Punda Maria",4/5,The Reids,"Jan 2, 2024 · 11:46 AM UTC",21h
42,8:28am,1 Buffalo stationary,"H4-2, 1.5km N of S130 S entrance Near Crocodile Bridge",5/5,Poppie and the family,"Jan 2, 2024 · 9:36 AM UTC",Jan 2
45,10:10am,1 Leopard in a tree,"H3, 900m S of S113 Near Malelane",4/5,Keaton and the Anthony's,"Jan 2, 2024 · 9:00 AM UTC",Jan 2
47,9:44am,2 Lion mating,"H7, 8km E of the Maroela Camp turnoff Near Orpen",5/5,Mel,"Jan 2, 2024 · 8:23 AM UTC",Jan 2
50,6:52am,1 Leopard in a tree with kill,"H1-1, 3.9km W of H3 Near Skukuza",3/5,Zoeb1005,"Jan 2, 2024 · 7:59 AM UTC",Jan 2
51,9:40am,1 Lion sleeping,"S119, 400m S of the Gardenia Hide Near Malelane",2/5,Schmitt Family,"Jan 2, 2024 · 7:54 AM UTC",Jan 2
52,6:52am,1 Leopard in a tree with kill,"H1-1, about 3km W of H3 Near Skukuza",4/5,Janak,"Jan 2, 2024 · 7:54 AM UTC",Jan 2
53,7:20am,Pack of Wild Dog stationary,"H3, at the S121 junction Near Malelane",5/5,Keaton and the Anthony's,"Jan 2, 2024 · 7:42 AM UTC",Jan 2
55,8:35am,1 Leopard stationary,"H3, 900m S of the Biyamiti Bridge Near Malelane",5/5,jayjay269,"Jan 2, 2024 · 6:59 AM UTC",Jan 2
65,7:16am,Pack of Wild Dogs stationary,"H3, at the S121 junction Near Malelane",5/5,ahmaaad madjooolooos lities,"Jan 2, 2024 · 5:34 AM UTC",Jan 2
74,5:15pm,3 Lions on the move,"H4-1, 800m W of Sunset dam Near Lower Sabie",5/5,ViajerosCallejeros,"Jan 1, 2024 · 3:41 PM UTC",Jan 1
75,5:31pm,2 Lions sleeping,"S119, 250m E of S119 Near Malelane",4/5,Mo41,"Jan 1, 2024 · 3:35 PM UTC",Jan 1
77,5:10pm,1 Leopard in a tree on the side of the road,"S25, 2.3km W of S27 Near Crocodile Bridge",5/5,RyanB96,"Jan 1, 2024 · 3:30 PM UTC",Jan 1
78,11:59am,2 Lions stationary,"H12, 1km S of H1-2 Near Skukuza",5/5,ViajerosCallejeros,"Jan 1, 2024 · 3:20 PM UTC",Jan 1
79,4:10pm,2 Lions mating,"S84, at Mantimahle dam loop off H1-2 Near Skukuza",5/5,rvdlaan,"Jan 1, 2024 · 3:20 PM UTC",Jan 1
80,4:20pm,10 Elephants eating,"S25, 8.8km E of S119 Near Malelane",5/5,Mo41,"Jan 1, 2024 · 3:19 PM UTC",Jan 1
82,4:06pm,3 Buffalos grazing,"H4-2, 900m N of H5 Near Lower Sabie",4/5,AmyWall,"Jan 1, 2024 · 3:19 PM UTC",Jan 1
86,4:40pm,9 Wild Dogs on the move,"H3, at S118 junction Near Malelane",5/5,Neels,"Jan 1, 2024 · 3:00 PM UTC",Jan 1
87,1:45pm,1 Leopard in a tree,"H7, close to S12 on S side of road Near Satara",5/5,Alberto - Matimba Bush Lodge,"Jan 1, 2024 · 2:59 PM UTC",Jan 1
88,4:13pm,Photo of the Leopard in a tree,"S25, 4.9km W of H4-2 Near Crocodile Bridge",5/5,DanielvandeVlag,"Jan 1, 2024 · 2:19 PM UTC",Jan 1
89,4:12pm,1 Leopard in a tree,"S25, 4.9km W of H4-2 Near Crocodile Bridge",5/5,DanielvandeVlag,"Jan 1, 2024 · 2:15 PM UTC",Jan 1
91,3:39pm,1 Crocodile stationary,"S1, 270m E of S65 Near Skukuza",4/5,Sachak,"Jan 1, 2024 · 2:08 PM UTC",Jan 1
92,3:22pm,3 Elephants eating,"S1, 2.4km E of S4 Near Skukuza",5/5,Sachak,"Jan 1, 2024 · 2:08 PM UTC",Jan 1
93,12:54pm,1 Lion sleeping,"H4-1, 2.8km E of H11 Near Skukuza",3/5,DenayCass,"Jan 1, 2024 · 2:08 PM UTC",Jan 1
95,2:47pm,2 Lions stationary,"H7, 100m up towards Tamboti/Maroela on the sand road Near Orpen",5/5,MatthewLeigh,"Jan 1, 2024 · 2:07 PM UTC",Jan 1
96,12:47pm,1 Black backed Jackal on the move,"S39, 9.8km W of H1-4 Near Olifants",2/5,JoedeWet,"Jan 1, 2024 · 2:07 PM UTC",Jan 1
98,1:02pm,1 Lion stationary,"H3, 4,4km N of S113 Near Skukuza",4/5,JadynStoltz,"Jan 1, 2024 · 2:07 PM UTC",Jan 1
