ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
2,12:15pm,1 Leopard stationary,"H3, 9.5km N of Afsaal, on ground behind bush. Difficult vis although close to road. East side Near Malelane",3/5,Jean - Discover Kruger Safaris,"Jan 6, 2024 · 10:53 AM UTC",5m
3,10:23am,1 Elephant eating,"H11, 1.4km E of S1 Near Skukuza",4/5,Ldawg,"Jan 6, 2024 · 10:49 AM UTC",8m
4,6:55am,1 Cheetah stationary,"H7, 550m E of S39 Near Satara",4/5,HaydenWilson,"Jan 6, 2024 · 10:49 AM UTC",8m
5,11:55am,7 Buffalos stationary,"S121, 2.5km E of H3 Near Malelane",5/5,RenedelaPeyre,"Jan 6, 2024 · 10:49 AM UTC",8m
6,11:23am,1 Wild Dog stationary,"H11, 2.1km E of S1 Near Skukuza",2/5,Tux1979,"Jan 6, 2024 · 10:49 AM UTC",9m
9,4:43am,1 Marabou Stork stationary,"H1-3, 200m South of Sweni Bridge Near Satara",5/5,Keaton and the Anthony's,"Jan 6, 2024 · 10:02 AM UTC",56m
12,10:15am,1 Leopard stationary,"S25, about 7km W of S27 Near Crocodile Bridge",4/5,Rummaanah,"Jan 6, 2024 · 9:29 AM UTC",1h
16,11:00am,1 Leopard stationary,"S25, 6.2km E of S26 on S side, a bit distant but on open branch Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Jan 6, 2024 · 9:29 AM UTC",1h
17,10:26am,1 Leopard in a tree,"S25, about 5km W of S27 Near Crocodile Bridge",3/5,rinagrobbelaar,"Jan 6, 2024 · 8:44 AM UTC",2h
18,10:04am,5 Wild Dog stationary,"S25, 1.5km E of S119 Near Malelane",4/5,Sarel1234,"Jan 6, 2024 · 8:44 AM UTC",2h
20,9:29am,1 Leopard Tortoise ,"S25, 10.7km E of S119 Near Malelane",5/5,JosieG,"Jan 6, 2024 · 8:44 AM UTC",2h
21,10:23am,4 Wild Dogs stationary,"S25, 1.5km E of S119 Near Malelane",5/5,Temfam,"Jan 6, 2024 · 8:35 AM UTC",2h
22,9:27am,1 Kori Bustard,"H4-2, 100m N of S25 Near Crocodile Bridge",5/5,Poppie and the family,"Jan 6, 2024 · 7:44 AM UTC",3h
23,9:20am,1 Leopard on a kill,"S114, 400m East of H3 Near Malelane",2/5,Eugene,"Jan 6, 2024 · 7:43 AM UTC",3h
24,6:25am,3 Cheetahs on the move,"S28, were lying down on ridge 1km from H4-2 S entrance on N side. They got mobile and went behind the ridge. Lost vis. Near Crocodile Bridge",5/5,Christelle - Capture Nature kruger Safaris,"Jan 6, 2024 · 7:39 AM UTC",3h
26,5:55am,1 Lion stationary,"S25, 600m W of S27. N side Near Crocodile Bridge",5/5,Christelle - Capture Nature kruger Safaris,"Jan 6, 2024 · 7:39 AM UTC",3h
27,9:15am,1 Cheetah chasing,"S28, 1.2km E of H4-2 S Near Crocodile Bridge",3/5,Markupretorius,"Jan 6, 2024 · 7:38 AM UTC",3h
28,9:11am,3 Cheetahs stationary,"S28, 600m E of H4-2 S Near Crocodile Bridge",5/5,Ernievdv,"Jan 6, 2024 · 7:38 AM UTC",3h
29,9:08am,1 Leopard in a tree,"S25, 6.2km E of S26 Near Crocodile Bridge",5/5,RenedelePeyre,"Jan 6, 2024 · 7:38 AM UTC",3h
30,8:37am,20 Chacma Baboons on the move and Impala,"S1, 2km W of H11 Near Skukuza",5/5,beomingmi,"Jan 6, 2024 · 7:37 AM UTC",3h
31,7:31am,5 Elephants eating,"H4-2, 1.1km S of S130 N Near Lower Sabie",5/5,shakiraryan,"Jan 6, 2024 · 7:37 AM UTC",3h
35,6:35am,2 Black backed Jackals playing,"S143, at the Tihongonyeni waterhole. Near Mopani",5/5,Aetta Fourie,"Jan 6, 2024 · 7:01 AM UTC",3h
38,8:40am,5 Wild Dogs stationary,"S25, 1.5km E of S119 Near Malelane",5/5,Rummaanah,"Jan 6, 2024 · 7:00 AM UTC",3h
