Time,Animal Type and Number,Location,Rating,Tinged By,Title
12:15pm,1 Leopard in a tree,"H3, distant view on E side from S110 tar junction Near Malelane",2/5,AfricanBushKingdom,"Dec 26, 2023 · 12:02 PM UTC"
12:34pm,3 Wild Dogs sleeping,"H3, 1.4km N of Afsaal Near Jock Safari Lodge",3/5,JTSearle,"Dec 26, 2023 · 12:02 PM UTC"
12:05pm,1 Spotted Hyena sleeping under a tree,"H1-1, just N of S114 Near Skukuza",5/5,Mieke4,"Dec 26, 2023 · 12:01 PM UTC"
1:20pm,4 Wild Dogs running,"H3, 2.5km N of Afsaal Near Jock Safari lodge",5/5,Neels,"Dec 26, 2023 · 11:47 AM UTC"
1:16pm,1 Cheetah running,"S25, 1km E of S27 turn off Near Crocodile Bridge",5/5,mia@23,"Dec 26, 2023 · 11:47 AM UTC"
1:02pm,2 Marabou Storks,"S114, just after S121 Near Malelane",5/5,Aj Products,"Dec 26, 2023 · 11:47 AM UTC"
11:53am,"2 Cheetahs were stationary, now on the move","S1, 1.1km E of S4 Near Skukuza",5/5,Mohammed patel,"Dec 26, 2023 · 11:30 AM UTC"
11:48am,1 Spotted Hyena on the move,"H4-2, walking into the bush 1.2km S from S82 S junction Near Lower Sabie",5/5,Antoinette,"Dec 26, 2023 · 10:38 AM UTC"
10:50am,Photo of the Pride of Lion stationary,"S137, 1.3km E of S130 on S side, in the rain Near Lower Sabie",5/5,Jean - Discover Kruger Safaris,"Dec 26, 2023 · 9:44 AM UTC"
10:10am,3 Lions,"H14, 2km before Nandzana Near Phalaborwa",5/5,minx,"Dec 26, 2023 · 9:32 AM UTC"
10:10am,1 Leopard crossed road,"H3, at S110 tar junction Near Malelane",5/5,Kumbana,"Dec 26, 2023 · 9:32 AM UTC"
11:08am,2 Cheetahs,"S1, 2km E from S4 towards S65 Near Skukuza",3/5,The Sulemans,"Dec 26, 2023 · 9:32 AM UTC"
9:35am,6 Lions stationary,"S137, 1km E of S130 Near Lower Sabie",3/5,Wildphotos 40,"Dec 26, 2023 · 9:04 AM UTC"
8:44am,6 Wild Dogs stationary,"H5, 6km W of H4-2 Near Crocodile Bridge",5/5,Wildphotos 40,"Dec 26, 2023 · 9:04 AM UTC"
10:43am,1 Elephant ,"S25, 5.1km W of H4-2 Near Crocodile Bridge",5/5,Antoinette,"Dec 26, 2023 · 9:02 AM UTC"
8:36am,1 Honey Badger,"H3, 5.9km S of S112 Near Skukuza",5/5,Madz009,"Dec 26, 2023 · 8:45 AM UTC"
9:59am,1 Spotted Hyena stationary,"H1-1, uner a tree next to the road 1.6km N of S114 Near Skukuza",5/5,KevinAltonToine,"Dec 26, 2023 · 8:45 AM UTC"
8:19am,1 Spotted Hyena on the move,"S108, 550m W of H5 Near Crocodile Bridge",2/5,KevinAltonToine,"Dec 26, 2023 · 8:45 AM UTC"
8:01am,2 Wild Dogs hunting,"S108, 400m W of H5 Near Crocodile Bridge",5/5,KevinAltonToine,"Dec 26, 2023 · 8:45 AM UTC"
10:00am,3 Lions marking territory,"S37, 10km E of H1-3 Near Tshokwane",5/5,T,"Dec 26, 2023 · 8:34 AM UTC"
10:01am,1 Leopard on the move,"S110 tar, at H3 junction, trying to cross the road heavy traffic jam with vehicles Near Malelane",5/5,Mel,"Dec 26, 2023 · 8:21 AM UTC"
8:45am,1 Lilac Breasted Roller in a tree,"S110 sand, 2km W of H3 Near Berg En Dal",5/5,NY Energy,"Dec 26, 2023 · 8:20 AM UTC"
8:50am,1 African Fish Eagle in a tree,"H3, Matjulu Bridge Near Malelane",5/5,Neels,"Dec 26, 2023 · 8:19 AM UTC"
9:30am,1 Leopard hunting,"S110 tar, at H3 junction Near Malelane",5/5,Rogerio Aiyavoo,"Dec 26, 2023 · 8:19 AM UTC"
8:30am,3 Spotted Hyenas sleeping,"H1-6, 750m N of H14 Near Mopani",3/5,GreylingR,"Dec 26, 2023 · 8:19 AM UTC"
8:28am,2 African Fish Eagles,"H4-2, 850m N of S28 N junction Near Lower Sabie",5/5,adanfra,"Dec 26, 2023 · 8:19 AM UTC"
9:18am,5 Spotted Hyenas,"H3, just S of H1-1 Near Skukuza",5/5,Madz009,"Dec 26, 2023 · 8:19 AM UTC"
9:15am,5 Spotted Hyenas suckling and Wild Dog,"H1-1, 850m N of S114 Near Skukuza",5/5,Louwpret1984,"Dec 26, 2023 · 8:18 AM UTC"
9:21am,5 Spotted Hyena,"H1-1, 800m N of S114 Near Skukuza",5/5,Madz009,"Dec 26, 2023 · 8:18 AM UTC"
9:23am,1 Giraffe,"S114, 1.4km N of S121 Near Malelane",5/5,LeonSmrs,"Dec 26, 2023 · 8:15 AM UTC"
9:115am,1 Leopard hunting,"S110 tar, 300m W of H3 Near Malelane",5/5,AfricanBushKingdom,"Dec 26, 2023 · 8:14 AM UTC"
