ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
2,10:47am,2 Elephant ,"S110 sand, 1.9km W of H3 Near Malelane",2/5,Handgebrandt,"Dec 29, 2023 · 9:00 AM UTC",47m
3,10:48am,1 Spotted Hyena stationary,"S1, 1.8km E of S4 Near Skukuza",3/5,Tashotten,"Dec 29, 2023 · 9:00 AM UTC",47m
4,10:12am,1 Elephant stationary,"H11, 4km E of S1 Near Skukuza",5/5,CharlN,"Dec 29, 2023 · 8:32 AM UTC",1h
5,9:33am,2 Lion stationary,"H3, Matjulu Bridge Near Malelane",1/5,JeanneLangley,"Dec 29, 2023 · 8:11 AM UTC",1h
6,9:35am,1 Elephant ,"S1, 3km W of S65 Near Skukuza",4/5,CharlN,"Dec 29, 2023 · 8:10 AM UTC",1h
7,9:45am,2 Honey Badger on the move,"S25, 6.3km W of S27 Near Crocodile Bridge",1/5,Priderock,"Dec 29, 2023 · 8:10 AM UTC",1h
8,9:51am,2 Black backed Jackal on the move,"H4-2, just N of S25 Near Crocodile Bridge",4/5,EddyB,"Dec 29, 2023 · 8:10 AM UTC",1h
9,9:30am,2 Lion stationary,"H3, Matjulu Bridge Near Malelane",3/5,Neels,"Dec 29, 2023 · 8:03 AM UTC",1h
10,9:29am,1 Leopard hunting,"H3, moved pass the S110 tar junction towards the gate side about 80m stalking Impala Near Malelane",5/5,Mel,"Dec 29, 2023 · 7:44 AM UTC",2h
12,9:13am,2 African Fish Eagle ,"H3, Matjulu Bridge Near Malelane",5/5,BenNats,"Dec 29, 2023 · 7:29 AM UTC",2h
13,8:55am,2 Spotted Hyena sleeping,"H1-1, 3.7km S of H11 Near Skukuza",5/5,Always Outdoors YT,"Dec 29, 2023 · 7:29 AM UTC",2h
14,6:59am,1 Lion ,"H7, 750m W of S106 W junction Near Orpen",5/5,Lushafricansafaris,"Dec 29, 2023 · 7:29 AM UTC",2h
15,8:49am,20 Buffalo eating,"S1, 1.6km W of S4 Near Skukuza",3/5,Cobusdutoit670,"Dec 29, 2023 · 7:21 AM UTC",2h
16,8:43am,3 Elephant stationary,"H1-1, 550m W of S20 Near Pretoriuskop",5/5,FrankDC,"Dec 29, 2023 · 7:21 AM UTC",2h
18,8:37am,5 Elephant eating,"S130, 1.7km E of H4-2 S junction Near Crocodile Bridge",3/5,Sicon,"Dec 29, 2023 · 6:45 AM UTC",3h
20,8:35am,1 Leopard in a tree,"H3, about 500m N of S110 tar Near Malelane",5/5,Mel,"Dec 29, 2023 · 6:43 AM UTC",3h
21,8:15am,1 Leopard crossed road but now up in tree,"H3, 600m N of S110 tar Near Malelane",5/5,AfricanBushKingdom,"Dec 29, 2023 · 6:42 AM UTC",3h
22,7:25am,8 Elephant on the move,"S110 tar, 2.9km W of H3, on the mountain Near Malelane",5/5,EdenEngelsman,"Dec 29, 2023 · 6:42 AM UTC",3h
23,8:30am,1 Elephant eating,"S25, 5.8km W of H4-2 Near Crocodile Bridge",3/5,AnyaLun,"Dec 29, 2023 · 6:42 AM UTC",3h
24,8:05am,1 Hippopotamus sleeping,"S25, 2.2km W of S27 Near Crocodile Bridge",4/5,AnyaLun,"Dec 29, 2023 · 6:42 AM UTC",3h
25,8:15am,1 Leopard sleeping,"H3, about 1km N of S110 tar, in a tree Near Malelane",5/5,Frannie - Tambotie Transfers and Tours,"Dec 29, 2023 · 6:33 AM UTC",3h
26,8:20am,Pack of Wild Dog stationary,"S25, 100m from S19 junction Near Malelane",5/5,Ian,"Dec 29, 2023 · 6:31 AM UTC",3h
29,7:41am,1 Klipspringer stationary,"S8, 1.9km S of H1-1 Near Pretoriuskop",5/5,Danny1809,"Dec 29, 2023 · 6:29 AM UTC",3h
30,7:38am,1 Spotted Hyena ,"H1-1, 750m N of S114 Near Skukuza",3/5,BenNats,"Dec 29, 2023 · 6:29 AM UTC",3h
31,7:40am,1 Common Buzzard stationary,"H3, 2.5km N of S110 sand Near Malelane",3/5,Neels,"Dec 29, 2023 · 6:18 AM UTC",3h
32,6:38am,1 Black backed Jackal on the move,"S114, 1.8km S of S25 Near Malelane",4/5,KLS,"Dec 29, 2023 · 5:54 AM UTC",3h
33,6:00am,3 Lions stationary,"H3, 3.5km N of S114 Near Malelane",5/5,AfricanBushKingdom,"Dec 29, 2023 · 5:54 AM UTC",3h
35,7:21am,1 Leopard in a tree,"H1-1, 1.3km S of H11 Near Skukuza",3/5,BenNats,"Dec 29, 2023 · 5:53 AM UTC",3h
36,7:28am,9 Wild Dogs stationary,"S25, 2.2km E of S119 Near Beautiful! Chilling under bush. one came and smelt our vehicle and then wandered back to pack",5/5,KLS,"Dec 29, 2023 · 5:53 AM UTC",3h
37,7:23am,Pride of Lion on a kill,"H7, 1km E of S106 W junction, right next to road Near Orpen",5/5,Sheila,"Dec 29, 2023 · 5:52 AM UTC",3h
38,7:34am,1 Lion stationary,"S25, 1.4km W of S27, 200m from the road in grass Near Crocodile Bridge",4/5,EstKruger,"Dec 29, 2023 · 5:49 AM UTC",3h
39,7:14am,Journey of Giraffe on the move,"H1-8, about 1.4km N of S59 Near Punda Maria",5/5,Lunga,"Dec 29, 2023 · 5:39 AM UTC",4h
41,7:31am,Herd of Buffalo ,"H1-8, 2.6km N of S59 Near Punda Maria",5/5,Lunga,"Dec 29, 2023 · 5:37 AM UTC",4h
43,7:10am,1 Martial Eagle stationary,"S110 sand, 600m W of H3 Near Malelane",4/5,Neels,"Dec 29, 2023 · 5:19 AM UTC",4h
47,6:29am,1 Lion sleeping,"H11, 5km E of S1 Near Skukuza",2/5,Robinbt,"Dec 29, 2023 · 4:39 AM UTC",5h
50,5:40am,2 Lions stationary,"H3, about 1km S of Biyamiti bridge Near Jock Safari Lodge",5/5,Minké,"Dec 29, 2023 · 4:31 AM UTC",5h
56,5:49pm,2 Elephants mating,"S28, while traveliing along with their herd Near Crocodile Bridge",5/5,Dhaler Family,"Dec 28, 2023 · 3:53 PM UTC",17h
57,5:42pm,Photo of the Leopard in a tree,"S110 tar, 100m W of H3 Near Malelane",5/5,Mel,"Dec 28, 2023 · 3:53 PM UTC",17h
58,5:42pm,1 Leopard in a tree,"S110 tar, 100m W of H3 Near Malelane",5/5,Mel,"Dec 28, 2023 · 3:46 PM UTC",18h
62,4:02pm,5 Spotted Hyenas playing,"H10, 2km S of H1-2 Near Tshokwane",5/5,Antoinette,"Dec 28, 2023 · 3:25 PM UTC",18h
64,3:30pm,1 Leopard on a kill,"H1-4, 200m S of Ngotso, W side of the road feeding on a warthog. Near Satara",5/5,Renata - Kedibone Safaris,"Dec 28, 2023 · 3:05 PM UTC",18h
65,4:05pm,1 Leopard on the move,"H1-4, about 5km S of S89, walking about 50m in Near Satara",5/5,Team Brandon and Sparky,"Dec 28, 2023 · 2:41 PM UTC",19h
